subject_id,model,scalar,GM,WM,acc,caudate,thalamus,S1
MB5330,GQI,iso,"[0.200636, 0.207349, 0.192243, 0.205165, 0.216784, 0.202897, 0.219422, 0.219491, 0.222456, 0.221574, 0.215319, 0.227749]","[0.207202, 0.215115, 0.19871, 0.212884, 0.224221, 0.210312, 0.228568, 0.228584, 0.232632, 0.230863, 0.224515, 0.236547]","[0.208031, 0.219377, 0.20253, 0.218277, 0.229125, 0.214889, 0.23585, 0.232019, 0.235734, 0.236114, 0.229643, 0.2421]","[0.209803, 0.221403, 0.204345, 0.220674, 0.235405, 0.216971, 0.238649, 0.229447, 0.237768, 0.231511, 0.232728, 0.244748]","[0.185593, 0.197859, 0.18052, 0.195454, 0.208177, 0.193189, 0.211915, 0.205137, 0.217349, 0.210547, 0.210264, 0.214261]","[0.178121, 0.185507, 0.171495, 0.182166, 0.196858, 0.178338, 0.191672, 0.197679, 0.200916, 0.201242, 0.190532, 0.207902]"
AG6470,GQI,iso,"[0.244378, 0.236701, 0.251958, 0.24621, 0.234208, 0.248693, 0.220932, 0.215461, 0.22406, 0.230802, 0.219905, 0.222628]","[0.252908, 0.246563, 0.261418, 0.255285, 0.243102, 0.25818, 0.230722, 0.224587, 0.233837, 0.24118, 0.229961, 0.23201]","[0.274828, 0.270195, 0.286724, 0.279462, 0.266958, 0.284311, 0.253082, 0.245881, 0.25264, 0.2606, 0.249404, 0.248933]","[0.302385, 0.297936, 0.307736, 0.303713, 0.286931, 0.308957, 0.267038, 0.266024, 0.270377, 0.278407, 0.266654, 0.26834]","[0.259048, 0.256311, 0.265161, 0.26215, 0.248243, 0.268, 0.238953, 0.236697, 0.243909, 0.250617, 0.238469, 0.239589]","[0.224549, 0.21504, 0.233589, 0.229021, 0.216493, 0.23131, 0.20016, 0.199331, 0.208472, 0.217138, 0.208406, 0.209028]"
AM5508,GQI,iso,"[0.207368, 0.197094, 0.186958, 0.189082, 0.186148, 0.187495, 0.194657, 0.193934, 0.194688, 0.198513, 0.191722, 0.183219]","[0.201513, 0.192101, 0.183694, 0.183691, 0.181526, 0.182042, 0.189671, 0.189335, 0.190846, 0.194189, 0.186661, 0.178546]","[0.232884, 0.219202, 0.212976, 0.213258, 0.211234, 0.210296, 0.220633, 0.219156, 0.221219, 0.224545, 0.214748, 0.202704]","[0.264339, 0.253393, 0.245846, 0.241851, 0.243828, 0.24568, 0.256848, 0.253265, 0.253506, 0.259574, 0.246577, 0.232531]","[0.200452, 0.190934, 0.181494, 0.178636, 0.178845, 0.181356, 0.187707, 0.187803, 0.186259, 0.192381, 0.181893, 0.17307]","[0.183249, 0.172481, 0.164691, 0.167208, 0.166023, 0.165188, 0.171183, 0.170729, 0.169294, 0.174814, 0.165593, 0.160355]"
AA5325,GQI,iso,"[0.21421, 0.197221, 0.220012, 0.203542, 0.203883, 0.218374, 0.218318, 0.221984, 0.21033, 0.21172, 0.214128, 0.201417]","[0.22085, 0.20253, 0.226644, 0.209422, 0.209452, 0.224095, 0.221743, 0.224676, 0.215854, 0.213976, 0.219781, 0.204804]","[0.24506, 0.22495, 0.250746, 0.230565, 0.229434, 0.247537, 0.242167, 0.247181, 0.241833, 0.234325, 0.242773, 0.223432]","[0.270753, 0.251591, 0.283037, 0.260538, 0.259954, 0.278902, 0.274956, 0.283008, 0.270327, 0.269086, 0.272622, 0.252424]","[0.218984, 0.199904, 0.224873, 0.204398, 0.205463, 0.218588, 0.211834, 0.212761, 0.205384, 0.202341, 0.209477, 0.192221]","[0.184795, 0.169679, 0.194407, 0.177466, 0.180201, 0.192046, 0.194257, 0.201595, 0.18886, 0.190698, 0.190947, 0.1772]"
KS5471,GQI,iso,"[0.18363, 0.186319, 0.196978, 0.184978, 0.190253, 0.189873, 0.198268, 0.205981, 0.204959, 0.190296, 0.177106, 0.185324]","[0.186871, 0.191168, 0.20084, 0.18917, 0.194323, 0.193782, 0.203794, 0.211068, 0.211118, 0.196443, 0.181746, 0.190611]","[0.212126, 0.215157, 0.22886, 0.217496, 0.22045, 0.219994, 0.228492, 0.240513, 0.238264, 0.218819, 0.208702, 0.217935]","[0.213795, 0.217234, 0.225773, 0.212375, 0.213964, 0.216856, 0.223078, 0.237125, 0.232488, 0.216885, 0.204899, 0.213518]","[0.17819, 0.186217, 0.189658, 0.180295, 0.18133, 0.180329, 0.193133, 0.204915, 0.202917, 0.191248, 0.176506, 0.183703]","[0.158769, 0.159915, 0.169831, 0.159233, 0.163543, 0.166009, 0.173507, 0.17918, 0.18062, 0.168237, 0.15265, 0.160459]"
PER5474,GQI,iso,"[0.241493, 0.230792, 0.231753, 0.226454, 0.223166, 0.221329, 0.234738, 0.230646, 0.223887, 0.219753, 0.215721, 0.218079]","[0.247928, 0.238336, 0.238839, 0.233917, 0.229831, 0.228356, 0.241849, 0.23813, 0.231213, 0.227, 0.222427, 0.226296]","[0.268242, 0.259077, 0.263876, 0.251801, 0.252773, 0.251141, 0.264784, 0.260989, 0.253858, 0.250913, 0.242285, 0.246195]","[0.287913, 0.2787, 0.285017, 0.275544, 0.273103, 0.271011, 0.285303, 0.280827, 0.274825, 0.270936, 0.264958, 0.264571]","[0.238921, 0.230853, 0.23617, 0.226721, 0.227246, 0.225061, 0.237273, 0.23405, 0.230606, 0.226684, 0.220462, 0.221406]","[0.223528, 0.213658, 0.205777, 0.206113, 0.199885, 0.199666, 0.209544, 0.204604, 0.199576, 0.194325, 0.194329, 0.19347]"
CM5268,GQI,iso,"[0.219057, 0.210601, 0.220524, 0.211359, 0.227157, 0.215517, 0.204434, 0.208189, 0.210527, 0.203614, 0.213571, 0.208178]","[0.220062, 0.211038, 0.21948, 0.212667, 0.227512, 0.215181, 0.205784, 0.208547, 0.210603, 0.204051, 0.214226, 0.209208]","[0.244099, 0.236472, 0.243474, 0.23704, 0.258246, 0.243306, 0.227053, 0.230451, 0.23362, 0.224063, 0.232095, 0.228452]","[0.256664, 0.245563, 0.257108, 0.248304, 0.273463, 0.256051, 0.23686, 0.239059, 0.243835, 0.232953, 0.242502, 0.236102]","[0.205654, 0.197261, 0.206954, 0.200843, 0.214584, 0.204132, 0.193346, 0.195532, 0.200647, 0.190365, 0.198619, 0.194605]","[0.18675, 0.180169, 0.191005, 0.180071, 0.202745, 0.186085, 0.177504, 0.182742, 0.177828, 0.178953, 0.188773, 0.181716]"
CKA6605,GQI,iso,"[0.147259, 0.148395, 0.140351, 0.153813, 0.146795, 0.152445, 0.129714, 0.132219, 0.142748, 0.132165, 0.130237, 0.144172]","[0.153068, 0.152757, 0.14432, 0.158176, 0.152398, 0.158928, 0.133127, 0.136585, 0.14768, 0.136751, 0.1343, 0.149153]","[0.173379, 0.172525, 0.163499, 0.175326, 0.172502, 0.176338, 0.152131, 0.154665, 0.166687, 0.151952, 0.151845, 0.165906]","[0.180433, 0.18108, 0.17022, 0.186784, 0.186982, 0.185443, 0.159887, 0.161014, 0.172277, 0.155407, 0.160694, 0.174839]","[0.149932, 0.149743, 0.140343, 0.151963, 0.155492, 0.155276, 0.131141, 0.133656, 0.144671, 0.131621, 0.134396, 0.146371]","[0.134934, 0.132858, 0.126174, 0.140592, 0.131782, 0.139428, 0.111225, 0.114612, 0.125449, 0.117678, 0.112644, 0.124453]"
EP5270,GQI,iso,"[0.203094, 0.196049, 0.195406, 0.203722, 0.196954, 0.195865, 0.180032, 0.189037, 0.185412, 0.19281, 0.18922, 0.182053]","[0.202976, 0.197166, 0.195785, 0.202528, 0.19752, 0.195973, 0.181252, 0.188862, 0.185588, 0.193624, 0.188092, 0.182941]","[0.228547, 0.224523, 0.223713, 0.232017, 0.223114, 0.222003, 0.207073, 0.21654, 0.21021, 0.220675, 0.211456, 0.207894]","[0.260413, 0.255439, 0.254398, 0.264443, 0.254112, 0.254544, 0.235928, 0.24521, 0.239599, 0.252094, 0.242387, 0.235317]","[0.192071, 0.189152, 0.18572, 0.191378, 0.187237, 0.187779, 0.174573, 0.180333, 0.177985, 0.186955, 0.17972, 0.176446]","[0.181802, 0.173292, 0.172698, 0.178525, 0.173271, 0.173017, 0.155617, 0.161487, 0.157603, 0.165455, 0.166535, 0.157286]"
MB5330,GQI,md,"[0.778345, 0.778457, 0.779588, 0.776783, 0.766542, 0.778658, 0.776651, 0.774732, 0.775292, 0.779844, 0.775068, 0.772886]","[0.668629, 0.668201, 0.668987, 0.668633, 0.663688, 0.669126, 0.666916, 0.664853, 0.666712, 0.668773, 0.663949, 0.66574]","[0.817634, 0.815747, 0.810829, 0.808372, 0.800111, 0.810797, 0.812336, 0.804206, 0.805503, 0.809245, 0.801206, 0.79558]","[0.831412, 0.820437, 0.812432, 0.805592, 0.787573, 0.802039, 0.811966, 0.822196, 0.815548, 0.826957, 0.811576, 0.782191]","[0.788978, 0.773673, 0.779871, 0.777308, 0.771821, 0.790448, 0.790487, 0.787747, 0.779961, 0.768681, 0.779723, 0.788366]","[0.825499, 0.836316, 0.831882, 0.831322, 0.800926, 0.835088, 0.81351, 0.811402, 0.809962, 0.827112, 0.812989, 0.819357]"
