subject_id,model,scalar,GM,WM,acc,caudate,thalamus,S1
MB5330,GQI,iso,"[-1.7658844873302988, 1.5288233847281532, -6.208808643227598, 0.4805887943849873, 5.814543508746023, -0.6318476862644756, 6.946887732314891, 6.976140251764294, 8.21600676088753, 7.850650347062365, 5.173718993679138, 10.349112400054437]","[-2.0295814390466145, 1.72357421224305, -6.389881401707697, 0.6936484971470971, 5.714748692881861, -0.5208135214982335, 7.507904285230929, 7.514378375855984, 9.123708976695658, 8.427364569752038, 5.838214224736267, 10.627768125009679]","[-3.5285606472112194, 1.8258522999220625, -6.3405421419048915, 1.3311068046564838, 6.00261865793782, -0.2245345271279447, 8.682849268602942, 7.175058939138621, 8.637913919926712, 8.784951337066003, 6.2146462117286605, 11.040272614622074]","[-3.954741670360619, 1.4917744264229982, -6.731344866116949, 1.1663509671884005, 7.351089965520411, -0.5204228522091344, 8.610483736924657, 4.945296008809587, 8.271858842793533, 5.792741309628189, 6.28537749361199, 10.887865614155505]","[-4.241718886667785, 2.22060490888292, -7.171135238939362, 1.0174602037648954, 7.066903004014205, -0.14303781961361706, 8.706163634790668, 5.689693554388853, 10.988625053101988, 8.112994564950657, 7.9893213610825695, 9.705763842540946]","[-2.223114250050993, 1.8469204216911892, -6.172677531900826, 0.04675222965134215, 7.506510615096503, -2.098730126688274, 5.003947716237467, 7.890654377382861, 9.374647448021403, 9.52145509717985, 4.435562880076143, 12.419874107351864]"
AG6470,GQI,iso,"[0.2809854678680736, -2.953233544992787, 3.280970108774734, 1.0229749671689377, -4.049107346176634, 2.0111811215702198, -10.3015105703716, -13.102293841267494, -8.761641227052289, -5.584584766740914, -10.816640519012019, -9.461223805331485]","[-0.0005272009320771424, -2.5739195797152514, 3.2548128539988315, 0.9305939113800908, -4.034246256029694, 2.041469775608762, -9.6164792838712, -12.610851622459586, -8.156251291854296, -4.86331094341708, -9.979228361910637, -9.007945059839372]","[-0.8193003138932903, -2.548036294774755, 3.363629599661455, 0.8524712960378583, -3.79148280503551, 2.543458864881525, -9.482170469123327, -12.688522767788761, -9.673712265146728, -6.323740086978768, -11.096721250126976, -11.306924620948882]","[0.36664076150162944, -1.1211580115640052, 2.099093595376133, 0.8022925151925331, -4.999575972388247, 2.485998590958182, -12.821521031962986, -13.25156126264297, -11.428240321230481, -8.214352847928858, -12.983991739607623, -12.274104991180325]","[-0.29756390064132193, -1.368584779168011, 2.0146879317345494, 0.8892491576069662, -4.663105639769637, 3.0526741293532402, -8.732191407236291, -9.768536708675372, -6.522856201834842, -3.6716716477068014, -8.952875775607456, -8.443556813264939]","[-0.20099547685954128, -4.631851438492058, 3.6768283894646845, 1.755588643253969, -3.9296112730357744, 2.727796751833755, -12.410238475885954, -12.877742716051854, -7.928322908272258, -3.6208923971544973, -7.962502679065536, -7.641241045856699]"
AM5508,GQI,iso,"[7.238580687473482, 2.4031680314976636, -2.8880818151670287, -1.7323171957140218, -3.3357865784214598, -2.593402490733082, 1.1813086608752883, 0.8129054214320379, 1.197043474687712, 3.100804481318608, -0.3314695235810096, -4.987746903978296]","[6.989706205885812, 2.4326612910222605, -2.0326376110996143, -2.034303985134453, -3.2512330648685746, -2.9585663381710328, 1.1826619075486948, 1.007297470972975, 1.7910601567057558, 3.48174544730478, -0.41081604262986254, -4.974535040456415]","[6.974430760951099, 1.1680246226463986, -1.721164200035051, -1.586654037206879, -2.5600361052986944, -3.0174928037940036, 1.809037330468854, 1.1472801718106467, 2.0691411376660005, 3.5197102288331275, -0.8818087556888328, -6.875871549977629]","[5.743697802190887, 1.6720404010108239, -1.3464390987311625, -3.020523655749454, -2.1852152610309865, -1.4149164224465212, 2.994702443987649, 1.6223455010891337, 1.7158699728343259, 4.013434832969944, -1.0459883390042999, -7.149656031525533]","[7.565817918171594, 2.958002939933864, -2.089417097351251, -3.7227471879501777, -3.601535780517579, -2.167100435974922, 1.289687296335962, 1.3401454360863934, 0.5223013831993834, 3.68790750299319, -1.8654740241057486, -7.058511970108435]","[7.335556174021868, 1.5505089449465936, -3.1062211454582567, -1.554152113933942, -2.2790015038076996, -2.7960061667110563, 0.8040128595323954, 0.5402323760657712, -0.30282624704163247, 2.8643777576929397, -2.5445922633605718, -5.8942138796212555]"
AA5325,GQI,iso,"[2.179948026080334, -6.246461245675319, 4.759588870910079, -2.9469757265494727, -2.7747940403728215, 4.045200741235991, 4.020587705396112, 5.605659266733935, 0.3754417661135648, 1.029504376849926, 2.142487982266067, -4.033092208370354]","[2.4229869443815644, -6.4034134860679, 4.917477041821846, -2.901716788748703, -2.8869780824882585, 3.8359475520054813, 2.8159475909799587, 4.084622597280831, 0.16454022935256432, -0.7116841764185267, 1.9483789165881937, -5.221984596654994]","[2.8610680377594635, -5.822923612654655, 5.063822885841993, -3.2457947505764824, -3.754747189460437, 3.833097005026864, 1.700617067285524, 3.69459357043355, 1.5648539832584196, -1.5891034531811172, 1.9459879530809978, -6.5418859727642715]","[1.2153143270804125, -6.308453005075691, 5.502637464359781, -2.6577696919451292, -2.8883956392284684, 4.101619923844215, 2.7253451461324674, 5.492954262777021, 1.0596425810222405, 0.6033387095575392, 1.8925471898819552, -5.9576347732386825]","[3.173291199357035, -6.0684128381623195, 5.709000191219039, -3.7363379289425556, -3.1986294369302475, 2.997877285120868, -0.09488561798389623, 0.34122795061125133, -3.2383243095859413, -4.790922255005169, -1.2211364493476633, -10.307926813407484]","[0.9177737492897552, -7.909051797806439, 5.816662980242487, -3.174129128959897, -1.6082041720079157, 4.658779667371364, 5.743937155417837, 9.174830724968384, 3.0504077094143898, 3.984834660038397, 4.110041006143077, -3.3290067720090226]"
KS5471,GQI,iso,"[-2.745647951496682, -1.2627983905738716, 4.2167991687734885, -1.9969041363477498, 0.8310863254017867, 0.6326158361992712, 4.83999771353252, 8.403283150711305, 7.946548659325356, 0.8534949061812381, -6.530458218995025, -1.80647586569109]","[-3.115161439352985, -0.7973789197634134, 4.05679479519352, -1.861993621257769, 0.8391526822180952, 0.5623157293591166, 5.44749436522502, 8.7060410231142, 8.727662571010844, 1.9092900569970321, -6.022874414475882, -1.0919271885323114]","[-3.2470481380563037, -1.7925669782221063, 4.302266305456036, -0.697867240470321, 0.651470477054517, 0.4455424541881464, 4.148139395106471, 8.93887925669992, 8.079343361425426, -0.08903858135413778, -4.94093651873644, -0.49502527512025807]","[-1.3429531404694306, 0.2613924769296604, 4.033623743022137, -2.020561114380988, -1.2629071557208897, 0.0875388890938509, 2.874256239222768, 8.627868564399945, 6.805440854295004, 0.10089832553351431, -5.742910734882374, -1.4744268242802099]","[-2.514076734571721, 1.9048565204394103, 3.6846147627132293, -1.3171931186851138, -0.7388922590488864, -1.2980903422818002, 5.417596509486552, 10.855801999202924, 9.97805342414221, 4.4853628098943075, -3.49213813317017, 0.5624114285921669]","[-2.591395885426835, -1.8561944366277852, 4.090929610416641, -2.292447754757689, 0.4033597687866002, 1.8828296457822562, 6.122903782940557, 9.095137106075835, 9.819879673716464, 3.1822171500125855, -6.703788623212129, -1.5108740135070853]"
PER5474,GQI,iso,"[5.105116918502822, 0.7051804221983449, 1.1169218952936937, -1.196931827214359, -2.6879094485719106, -3.5402048534082726, 2.3743492745103087, 0.6423263355965405, -2.357215916958104, -4.28276292018766, -6.231892119914147, -5.083249648063315]","[4.729935034902603, 0.8957242436448157, 1.1044399504826732, -0.976485961544766, -2.771674259202056, -3.4354983738840583, 2.3352725598755106, 0.80999174120578, -2.1573902274814487, -4.0533773861967735, -6.19266845601778, -4.377084290781404]","[3.885918933897997, 0.4858272508430643, 2.295648966433735, -2.389717806257052, -1.9959937704316877, -2.6587985766295876, 2.6306977259451867, 1.2148660160645506, -1.560058510400832, -2.7520827272135437, -6.411182422904147, -4.721189842739828]","[3.2527187032193607, 0.05453893074990509, 2.2696891764350906, -1.0902070086810116, -1.9937532725748284, -2.781067927132115, 2.3676582440422833, 0.811531654719801, -1.3546802510688736, -2.8095195913426076, -5.129114803100865, -5.282891926930773]","[3.3870330918309035, 0.010540618200032341, 2.261647683166071, -1.8117715900453315, -1.5765587366407674, -2.5627126275394985, 2.7159994324399865, 1.3763440860215022, -0.09655718700583531, -1.8283895937369579, -4.702246494482809, -4.255831669722903]","[6.900030421244769, 2.599247395370166, -1.131078789174694, -0.9662175602703407, -4.11211446581784, -4.226307934250191, 0.6869678921849398, -1.7108658677249662, -4.273309415961836, -7.090955872893349, -7.088751550206092, -7.564221843179818]"
CM5268,GQI,iso,"[0.7704996112123149, -3.2137390927235057, 1.4306077040745482, -2.8435820886106815, 4.308840728365561, -0.8594062958683792, -6.327306938506625, -4.4095349257965735, -3.250018604106195, -6.755511245133759, -1.7784093658158786, -4.4150518626687925]","[1.0930252989308988, -3.1362440255625477, 0.8307514731790212, -2.346234567030474, 4.331786162195093, -1.1505043041284693, -5.769479972527844, -4.368160015088533, -3.3492716944519687, -6.667777500069435, -1.6014240412772927, -4.038405159777201]","[0.13362064845275193, -3.0873986490296272, -0.12273726694978992, -2.840378557768025, 5.604410781451271, -0.1918708676865071, -7.363846033011377, -5.780766120925203, -4.3458750677738776, -8.796558705959178, -5.031488542766252, -6.706368660958687]","[0.18383307878523594, -4.3284886838272305, 0.3562056930680251, -3.176818201344589, 6.315601501239051, -0.055132245789585754, -8.161853696979938, -7.166919742267252, -5.06783959098024, -9.975903579978224, -5.6453829934048665, -8.509104821927242]","[0.36436603875118007, -3.8749000900667947, 0.9902361555385967, -2.0223092996353658, 4.510743267593737, -0.37851324959665494, -5.978229012581932, -4.793418298113168, -2.1219687643805587, -7.637783556150891, -3.1646854866184313, -5.292601252108965]","[-0.5644801427933931, -4.237780454277187, 1.6757851016116578, -4.294509758187965, 7.369273389397197, -0.9238609595973133, -5.802780031248122, -2.7701167036951952, -5.6100089224793885, -4.946084539888496, 0.5132266443470918, -3.3503745771790445]"
CKA6605,GQI,iso,"[-0.6229387224776248, 0.1473544706133445, -5.575545121398012, 3.664623059602685, -0.9409948113582327, 2.8001355680190696, -14.23310770875413, -12.068865543782152, -3.80273862564331, -12.114654661471132, -13.774375433504561, -2.7774695040183475]","[-0.13490736143413276, -0.3387733459023181, -6.20461474501109, 3.0987634027918287, -0.5751387813488381, 3.557271217154941, -15.134044934536204, -12.21913094410074, -3.788258396533046, -12.082909814187827, -14.128443782576324, -2.763269930876348]","[0.6445417265066826, 0.15273148819013335, -5.3593599960855896, 1.7478867937442395, 0.13941867340668782, 2.311753564177892, -13.232345807231924, -11.377170012607888, -3.3442919963764313, -13.365733915973452, -13.4456188876815, -3.830783696792151]","[-0.7707385382201032, -0.41068404388485646, -6.816864449927551, 2.6556521614984776, 2.7587325696234504, 1.9517228115018135, -13.720106491876567, -12.924134961349138, -5.541463263620027, -16.998376306515603, -13.14900784513839, -3.994913415580445]","[-0.3509368691584406, -0.4775960590255676, -7.207460768735633, 0.9902629806817083, 3.237358406434639, 3.1027546648119184, -14.730074245786316, -12.571202689491416, -4.000225799688016, -14.311672656085776, -11.951372560691283, -2.792333636216629]","[0.4738118882811577, -1.0813550306844129, -6.436085617216457, 4.479154812032899, -1.9066842714989078, 3.6817090780426422, -20.74144002397545, -17.173303551693273, -7.051205403523899, -14.120452987530971, -19.220434880390176, -7.907938472087219]"
EP5270,GQI,iso,"[2.2546210129299733, -1.257848803105344, -1.5910463342988448, 2.555934067012885, -0.7925708541080694, -1.3529727107956937, -10.26650817632421, -5.0138332707353515, -7.0669643820248975, -2.9588714278305, -4.912271430081385, -9.042421712358491]","[2.1273451048399754, -0.7567227615308894, -1.467426003013517, 1.9108468952441204, -0.5761441879303363, -1.3700866956162292, -9.603204378434448, -5.186856011267486, -7.042481194904843, -2.5998843118621715, -5.617463794313416, -8.591294461055755]","[1.2663332560334188, -0.503214963871542, -0.8671080059421256, 2.7429742935503425, -1.1379085728969476, -1.6440468522196983, -8.972600644861133, -4.208383362581182, -7.346383774955185, -2.255730523771742, -6.713847482849055, -8.542253905034924]","[1.2242732377671846, -0.6991232088026181, -1.1111853604719117, 2.7295737329657572, -1.224984783612479, -1.0531905420412009, -9.026835870830654, -4.899813765072115, -7.356388521376692, -2.0352857796430546, -6.121546672607589, -9.309923776579401]","[1.6564187201607614, 0.1387772796480984, -1.7066013353435385, 1.3003062002946926, -0.8825712866581013, -0.5913866832819508, -8.200867258969033, -4.744833169747092, -6.1266398853836055, -1.0347409804498438, -5.1021032717560795, -7.052299287034008]","[3.5026200665192477, -1.2361601612692261, -1.5843649994016598, 1.7313168090370092, -1.2484297237660429, -1.3970688814779268, -12.734576984948086, -8.636711727053372, -11.313976679800941, -6.031347899227391, -5.343721540016622, -11.538322970046067]"
MB5330,GQI,md,"[0.25046733774869095, 0.26481873757960295, 0.4095111776989952, 0.04988523178289125, -1.2854481554826689, 0.2905640216886048, 0.03289765930901719, -0.21471941264849378, -0.14233346919611242, 0.44220382538047054, -0.1712752945547908, -0.454077315412615]","[0.1124190943956523, 0.048438518749107234, 0.16587268013678524, 0.11301665736909634, -0.6312202922658506, 0.18661158984506293, -0.14414608936258383, -0.45488752150224115, -0.17478811440822298, 0.133926858091853, -0.5916619097751953, -0.32104625429346656]","[0.8625293631787972, 0.6332028598736318, 0.03050376014343063, -0.2733477491385978, -1.3086517579019197, 0.026558230152966173, 0.2159615397241169, -0.7927902386536122, -0.630496306862504, -0.1651745351119442, -1.1701942654781257, -1.8856264192999688]","[2.5857015935942034, 1.282588831724236, 0.3099131168311245, -0.536520554656281, -2.8367105864048963, -0.9818932329558357, 0.25269941516434974, 1.493784126088358, 0.6908034025383483, 2.0609092532421216, 0.20476619975619811, -3.544296299326716]","[1.0935877383991264, -0.8630045682521224, -0.061399043346055594, -0.39132921999172776, -1.1050273746546568, 1.2775244755716684, 1.2823951142354968, 0.939028224374917, -0.049852919996420685, -1.5180332717126286, -0.08039179725790353, 1.0168077601858416]","[-0.16230586994452056, 1.1332040361139388, 0.6062358203046477, 0.5392816100941278, -3.235359238348271, 0.987820046110919, -1.6384350940164651, -1.9024889430064684, -2.083657422611597, 0.03302656310954957, -1.7035695849923356, -0.9131347304451294]"
